tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
Polo G,RAPSTAR,RAPSTAR,spotify:track:43PGPuHIlVOc04jrZVh9L6,,,,,,
Kanye West,The College Dropout,All Falls Down,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,,,,,,
VIC MENSA,There's Alot Going On,Liquor Locker,spotify:track:5YbrqNUUleF39Ai3b3ruQy,,,,,,
Drake,Views,Grammys,spotify:track:2JfeUjJvP1lJkCSne9g0de,,,,,,
Polo G,THE GOAT,I Know,spotify:track:40j4RoqmLiivqzRObbQ4BF,,,,,,
blackbear,hot girl bummer,hot girl bummer,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,,,,,,
6 Dogs,Saturn,Saturn,spotify:track:1a9rOeuuSEYpyRupt4D1Po,,,,,,
Gunna,Drip Season 3,Spending Addiction,spotify:track:4XbhQKkTqhEkvUXhivLydC,,,,,,
Trippie Redd,A Love Letter To You 4,6 Kiss,spotify:track:7tgjDlQsMR8RvkdlNCJA58,,,,,,
Lil Durk,Just Cause Y'all Waited 2,Internet Sensation,spotify:track:6pgXtdQGyZODLuXK7ZrTCk,,,,,,
Justin Rarri,W2Leezy,W2LEEZY,spotify:track:6vN61JHkrDJYYhupL4y2tJ,,,,,,
Lil Peep,EVERYBODY'S EVERYTHING,cobain,spotify:track:4eL9UZBJ6imyD6brPMTjKs,,,,,,
POORSTACY,hollow,hollow,spotify:track:1B7AZ8Xq8RqaCp9OrQabaI,,,,,,
Polo G,Die A Legend,Chosen 1,spotify:track:40QrLHWdsxyXLAdjJG4Rxs,,,,,,
The Weeknd,Beauty Behind The Madness,Often,spotify:track:4PhsKqMdgMEUSstTDAmMpg,,,,,,
Mac Miller,K.I.D.S.,The Spins,spotify:track:51pshtuYkgUQnt5huMPbKL,,,,,,
Post Malone,rockstar,rockstar,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,,,,,,
The Weeknd,Starboy,Ordinary Life,spotify:track:15k2nBQJ0teDmPZHrOXL2N,,,,,,
POORSTACY,The Breakfast Club,Empty Room,spotify:track:4c9opTcbXuZ8DAbdVF8Kya,,,,,,
Jack Harlow,Thats What They All Say,Face Of My City (feat. Lil Baby),spotify:track:6MDdceLYec4AxohmorE4vH,,,,,,
Gunna,Drip Season 3,Drip or Drown Remix (feat. Lil Yachty),spotify:track:7aqY1b0KarccMd0USA7cIG,,,,,,
Pop Smoke,Shoot For The Stars Aim For The Moon,Mood Swings (feat. Lil Tjay),spotify:track:5rZlwNFl01HqLWBQGryKSm,,,,,,
YNW Melly,I AM YOU,Murder On My Mind,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,,,,,,
NAV,RECKLESS,What I Need / Daheala Outro,spotify:track:6UG2khzlXwwiqfqX36c2SR,,,,,,
Lil Uzi Vert,Eternal Atake,You Better Move,spotify:track:6YAxCn4juTWn5hWl2hzHGw,,,,,,
Big Scarr,Big Grim Reaper,Ballin In LA (feat. Gucci Mane & Pooh Shiesty),spotify:track:3Wi553kn7lf2493sQIBShu,,,,,,
Lil Baby,Woah,Woah,spotify:track:598yNsG1JFrGd4n2kMoz7F,,,,,,
Fetty Wap,Trap Queen,Trap Queen,spotify:track:3twQx3psUMJKj4wna5d1zU,,,,,,
Don Toliver,Heaven Or Hell,Cardigan,spotify:track:0Li1OuXXfi7950ilZUFGkF,,,,,,
Big Sean,Dark Sky Paradise,Blessings,spotify:track:1bzM1cd6oqFozdr4wK6HdR,,,,,,
YG,Red Friday,I Know,spotify:track:3fNH4etsltJRU7NsgU9RVe,,,,,,
Lil Baby,Drip Harder,"Never Recover (Lil Baby & Gunna, Drake)",spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,,,,,,
Juice WRLD,Righteous,Righteous,spotify:track:0OyQns5ayNK2OVaES0Vb8t,,,,,,
DJ Khaled,Major Key,Tourist (feat. Travis Scott & Lil Wayne),spotify:track:7HKrDkHd5kPARX4O7Su70O,,,,,,
Gunna,Drip or Drown 2,One Call,spotify:track:3pq5dd3Hwg2uJ3d63v9YRx,,,,,,
Gunna,Drip Season 3,Oh Okay (feat. Young Thug & Lil Baby),spotify:track:38844QuZDlnt44uHPrSA3S,,,,,,
Ty Dolla $ign,Pineapple (feat. Gucci Mane & Quavo),Pineapple (feat. Gucci Mane & Quavo),spotify:track:0TFVOjSvPTjFHkiZZekK5k,,,,,,
ASTN,Happier Than Ever,Happier Than Ever,spotify:track:7es56D0QedGMsK39wl2yFX,,,,,,
YBN Nahmir,Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),spotify:track:59fFsGRwFiuhxKDPc1k6xW,,,,,,
No Savage,Reaper,Reaper,spotify:track:28J4hWKkLU6w9hdMKmEV7n,,,,,,
Lil Skies,Life of a Dark Rose,Big Money,spotify:track:3i5h463CsDCWV13a25RgEO,,,,,,
POORSTACY,OKAY,OKAY,spotify:track:19VWzBqAFZg8w5IyBuaXCd,,,,,,
Post Malone,Stoney,Money Made Me Do It,spotify:track:1ysAvOdJgUjc6CqOQxepaz,,,,,,
Lil Baby,My Turn,We Paid (feat. 42 Dugg),spotify:track:6gxKUmycQX7uyMwJcweFjp,,,,,,
Bryson Tiller,True to Self,Self-Made,spotify:track:2rUwQj4SWaP2anuGDtNpYR,,,,,,
Juice WRLD,Legends Never Die,Hate The Other Side (with Marshmello & The Kid Laroi),spotify:track:66FgjA5ZQJJuypFG1bc8se,,,,,,
Ski Mask The Slump God,Like A Soccer Mom,Like A Soccer Mom,spotify:track:4bgXEwLBvgVywxVlfaEpEm,,,,,,
Lil Tjay,True 2 Myself,Mixed Emotions,spotify:track:375PG35fYzLTG6jkrJbegL,,,,,,
Travis Scott,Rodeo (Expanded Edition),Flying High (feat. Toro y Moi),spotify:track:6HszFW6X5wM8DKX1SO0LaK,,,,,,
Never Broke Again,AIN'T 2 LONG,4 Eyes,spotify:track:2vZpazDwtFS5hTkanjDrK6,,,,,,
Huncho Jack,"Huncho Jack, Jack Huncho",Go,spotify:track:4RgoqOBE34Q6zZj8K7RUAx,,,,,,
Future,March Madness,March Madness,spotify:track:26oF6WjkOjDIRK9YsdZp2l,,,,,,
Lil Baby,Sum 2 Prove,Sum 2 Prove,spotify:track:2u3EyuCqqV31woqGvO9LBz,,,,,,
Lil Uzi Vert,Eternal Atake,I'm Sorry,spotify:track:1xcOYJxDa5pObgxY1r0I9c,,,,,,
NoCap,38 Sides (feat. YoungBoy Never Broke Again),38 Sides (feat. YoungBoy Never Broke Again),spotify:track:7zdbph3L2fiexGdn7Hcd3j,,,,,,
Young Thug,On the Run,Sin (feat. Jaden Smith),spotify:track:1Jl21sidRpEdlVBvYbssLx,,,,,,
Lil Yachty,Lil Boat,One Night,spotify:track:40yJGQyEaBbIkXpwMFkXip,,,,,,
Oliver Tree,Hurt,Hurt,spotify:track:1Xls3QHvOQ7YLB54R6BvgG,,,,,,
Lil Eazzyy,Onna Come Up,Onna Come Up,spotify:track:0s8QrhtXW1Av2tuLLerDjN,,,,,,
The Weeknd,"My Dear Melancholy,",Call Out My Name,spotify:track:4MPTj8lMMvxLwT3EwuXFop,,,,,,
Polo G,GANG GANG (with Lil Wayne),GANG GANG (with Lil Wayne),spotify:track:4VW44pawoOHPUjlN7DX5vk,,,,,,
Chance the Rapper,Acid Rap,Acid Rain,spotify:track:0yLsJKNJHmSnmSGl3ZodYn,,,,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Bean (Kobe) [feat. Chief Keef],spotify:track:0IpnZchq8ek2A6pGEP2Qb1,,,,,,
Lil Skies,Shelby,Ok 4 Now,spotify:track:0k7Qyc2J6cUryNNhf0pPEL,,,,,,
Pop Smoke,Shoot For The Stars Aim For The Moon,Gangstas,spotify:track:1hg3RlqFZXJb5YgRoK9qmF,,,,,,
Chief Keef,"Bang 3, Pt. 2",Bouncin,spotify:track:0BEaYkPp5PnclzQxbNgwmM,,,,,,
Drake,Views,Hype,spotify:track:07GilNHSfS5oicUgHgU7VG,,,,,,
Lil Yachty,Lil Boat 2,NBAYOUNGBOAT,spotify:track:6K2anECyrckidwf5wxS78Q,,,,,,
Savage Ga$p,i guess i'm over it,tired of being tired,spotify:track:0KEZphCQCLBFYH4AcSNnNL,,,,,,
Juice WRLD,Legends Never Die,Blood On My Jeans,spotify:track:3MmCFghNjzZMn3HKqbVizn,,,,,,
A Boogie Wit da Hoodie,Artist,Fall in Love,spotify:track:1sXJ0TZDdYBIV4mlzQFi4j,,,,,,
Kanye West,The Life Of Pablo,No More Parties In LA,spotify:track:0zLClc0emc6qUeV1p5nc99,,,,,,
Gunna,DS4EVER,south to west,spotify:track:6hP9uvjkqnt8u2i9u2xhJC,,,,,,
NAV,Freshman List,Freshman List,spotify:track:45pufTUf5x1CWEyXJxGdA6,,,,,,
Lil Uzi Vert,Luv Is Rage 2,XO Tour Llif3,spotify:track:7GX5flRQZVHRAGd6B4TmDO,,,,,,
Pink Sweat$,PINK PLANET,So Sweet,spotify:track:7FaC1LxJtcdgIgU1ATCX5O,,,,,,
The Weeknd,Starboy,All I Know,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,,,,,,
Young Thug,JEFFERY,Swizz Beatz,spotify:track:539wfGOsGcRmT1IBVUfiJV,,,,,,
Teejay3k,Won't Last Here,Won't Last Here,spotify:track:6p6OoZvldIl1rjPugEDfog,,,,,,
Huncho Jack,"Huncho Jack, Jack Huncho",Eye 2 Eye,spotify:track:4vwfOiyWxXeEdx4ejAJgdx,,,,,,
Snoh Aalegra,I Want You Around (feat. 6LACK) [Remix],I Want You Around (feat. 6LACK) - Remix,spotify:track:7eb5G8a12Fn4TwRr3cbJBd,,,,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Got The Guap (feat. Young Thug),spotify:track:1HF6P40Z7nfExGaB1Gk99v,,,,,,
Huncho Jack,"Huncho Jack, Jack Huncho",Saint,spotify:track:7foypmc7KZyU716Yv63BPe,,,,,,
Coi Leray,BIG PURR (Prrdd),BIG PURR (Prrdd) (feat. Pooh Shiesty),spotify:track:5byWPNSh2hi0ULmDxBgLyV,,,,,,
Juice WRLD,Goodbye & Good Riddance,End Of The Road,spotify:track:24BNgrtp6Fag4M5BQPEgsV,,,,,,
Post Malone,beerbongs & bentleys,Rich & Sad,spotify:track:2VdT56BGpdqNHUgOe1j5vc,,,,,,
Kota the Friend,Colorado,Colorado,spotify:track:3DbBgbnDUOml329rAp2Tbr,,,,,,
Roddy Ricch,Please Excuse Me for Being Antisocial,Peta (feat. Meek Mill),spotify:track:4bl1HBZliBuYpFZjWgefE4,,,,,,
Shrimp,Pretty Lies,Pretty Lies,spotify:track:3OFSXLlnf0IZvcQt5gajBq,,,,,,
JACKBOYS,JACKBOYS,OUT WEST (feat. Young Thug),spotify:track:6gi6y1xwmVszDWkUqab1qw,,,,,,
J. Cole,4 Your Eyez Only,4 Your Eyez Only,spotify:track:1vvnYpYEMVB4aq9I6tHIEB,,,,,,
Post Malone,Stoney,White Iverson,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,,,,,,
J. Cole,2014 Forest Hills Drive,A Tale of 2 Citiez,spotify:track:7lL3MvFWFFSD25pBz72Agj,,,,,,
Lil Nas X,7 EP,Rodeo,spotify:track:4ak7xjvBeBOcJGWFDX9w5n,,,,,,
Yung Pinch,20 Years Later,20 Years Later,spotify:track:259M6SeIw5xXpOCEwZcSmI,,,,,,
Lil Tecca,We Love You Tecca,Amigo,spotify:track:2BULAwmRpScmZE7YOF07e5,,,,,,
YFN Lucci,"Everyday We Lit (Remix) [feat. PnB Rock, Lil Yachty & Wiz Khalifa]",Everyday We Lit (Remix),spotify:track:15muuXcaTz4RqVv1fJZuBZ,,,,,,
Lil Nas X,Panini,Panini,spotify:track:68poZGRClFTzLdeRz9X0M2,,,,,,
Lil Uzi Vert,Lil Uzi Vert vs. The World,Ps & Qs,spotify:track:1gGsNNUfvVMOv4llVMg8Vg,,,,,,
Bobby Shmurda,No Time For Sleep (Freestyle),No Time For Sleep (Freestyle),spotify:track:50xlqNticOjNCnR192H1YJ,,,,,,
Cordae,The Lost Boy,Have Mercy,spotify:track:0GwYkXgQdqY4dyRffHw3HT,,,,,,
Travis Scott,ASTROWORLD,ASTROTHUNDER,spotify:track:4MXhiYIRDMGAuvZc5IFTwC,,,,,,
Polo G,Hall of Fame,Clueless (with Pop Smoke & Fivio Foreign),spotify:track:4CPcZHzSvIBM8AKhdHUwnL,,,,,,
21 Savage,Savage Mode,No Heart,spotify:track:4gmmRb6bZJffOOiww1JGTO,,,,,,
XanMan,Gucci Down,Gucci Down,spotify:track:27mp8aBdVahnilXRLrr6j9,,,,,,
YBN Nahmir,Rubbin off the Paint,Rubbin off the Paint,spotify:track:1QRJb5VY3sIkCKcTuIKCrk,,,,,,
A Boogie Wit da Hoodie,Artist 2.0,King Of My City,spotify:track:3o0nkjyy6eZL5lZcEpvJec,,,,,,
Rich The Kid,The World Is Yours 2,Tic Toc (with Tory Lanez),spotify:track:2VGD6mGeuv6aORaU0vKsHB,,,,,,
"Tyler, The Creator",IGOR,"GONE, GONE / THANK YOU",spotify:track:1hz7SRTGUNAtIQ46qiNv2p,,,,,,
J. Cole,KOD,Kevin’s Heart,spotify:track:6tZ3b7ik1QDXFAZlXib0YZ,,,,,,
Polo G,THE GOAT,Wishing For A Hero (feat. BJ The Chicago Kid),spotify:track:192RjH0gN6en7nE6ElN96T,,,,,,
The Weeknd,Starboy,Party Monster,spotify:track:4F7A0DXBrmUAkp32uenhZt,,,,,,
Juice WRLD,Wasted (feat. Lil Uzi Vert),Wasted (feat. Lil Uzi Vert),spotify:track:3VFZTYhwAsxTDTiHlm3n1k,,,,,,
Drake,If You're Reading This It's Too Late,10 Bands,spotify:track:12d5QFwzh60IIHlsSnAvps,,,,,,
David Guetta,One Love,Memories (feat. Kid Cudi),spotify:track:4dTaAiV9xFFCxnPur9c9yL,,,,,,
Mobster Bay,Thats on You,Thats on You,spotify:track:1SFFJJFlFukUYWGYk9lDYM,,,,,,
The Weeknd,Trilogy,Twenty Eight,spotify:track:1FJrsh1NbV9eRw5JQt3M4e,,,,,,
Future,Fine China,Fine China,spotify:track:2NRGaA1GyCmTYfm2GRPkUe,,,,,,
Trippie Redd,Bust Down,Bust Down,spotify:track:4UdzNCjI27SvzXvV1m0CKM,,,,,,
Kanye West,808s & Heartbreak,Amazing,spotify:track:0m3Ze0cy8qBHSsV2exAfCw,,,,,,
Lil Skies,Life of a Dark Rose,Red Roses (feat. Landon Cube),spotify:track:3ZhTT6yjZwpPph5MIJ53XY,,,,,,
Young Thug,The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),spotify:track:7DcvwMAiqKJQD1rrdfxSDx,,,,,,
Gunna,Drip or Drown 2,3 Headed Snake (feat. Young Thug),spotify:track:2OaKHGvIxoOzIYjyMsxcT8,,,,,,
XXXTENTACION,17,Everybody Dies In Their Nightmares,spotify:track:3GVkPk8mqxz0itaAriG1L7,,,,,,
SAINt JHN,Reflex,Reflex,spotify:track:0DpQ59d7bDBrdyHg7VTFpM,,,,,,
Juice WRLD,Goodbye & Good Riddance,Candles,spotify:track:1wa6QQsdSE3X2GbRljGpFk,,,,,,
Kendrick Lamar,DAMN.,HUMBLE.,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,,,,,,
Lil Uzi Vert,Eternal Atake,Venetia,spotify:track:3BYIzNZ3t9lRQCACXSMLrT,,,,,,
Young Stoner Life,Slime Language 2,Pots N Pans (feat. Lil Duke & NAV),spotify:track:17aAxnrJARm39LVoaaT97J,,,,,,
XXXTENTACION,SAD!,SAD!,spotify:track:35ieKju5aLWFN5UgfJ27mL,,,,,,
2 Chainz,Good Drank,Good Drank,spotify:track:6aRlUgqcLgrxQE3RMngjN5,,,,,,
NLE Choppa,Narrow Road (feat. Lil Baby),Narrow Road (feat. Lil Baby),spotify:track:3GZd1aDsgKL71Kt3VIp0hc,,,,,,
6LACK,East Atlanta Love Letter,Loaded Gun,spotify:track:1wb7Mqon4o1ViLjaLV9f8U,,,,,,
L0key Wavey,Vibe Till We Feel It,Vibe Till We Feel It,spotify:track:1KPSabIlKhWPTS695gqwjA,,,,,,
Juice WRLD,Legends,Legends,spotify:track:1Knctxx9vGZxpZfF66BIEa,,,,,,
Bryson Tiller,Canceled,Canceled,spotify:track:3TOfcOKNuu6ZPZXJie5msH,,,,,,
Juice WRLD,Spider-Man: Into the Spider-Verse,Hide (feat. Seezyn),spotify:track:6rz0dTA0PdhXImFV5EjM0w,,,,,,
Ty Dolla $ign,Featuring Ty Dolla $ign,Universe (feat. Kehlani),spotify:track:5waFNguEkggHt2R05RxNBp,,,,,,
The Weeknd,"My Dear Melancholy,",Privilege,spotify:track:26Fqtv4Aa7kyd1WWGHai6A,,,,,,
Rae Sremmurd,SremmLife 2,Swang,spotify:track:6mapJIPnQ23RTAevUoE0DL,,,,,,
Gunna,Drip or Drown 2,Out The Hood,spotify:track:3OGGzDmPU14szwANX5tbbn,,,,,,
MadeinTYO,"Thank You, Mr. Tokyo",Drip,spotify:track:4otHeECoZShi7c4mf8ZG7j,,,,,,
6 Dogs,Off The Gas (feat. Lil Skies),Off The Gas (feat. Lil Skies),spotify:track:3IzrrsRBpu23x95jJo7d5S,,,,,,
NAV,NAV,Myself,spotify:track:05nbZ1xxVNwUTcGwLbp7CN,,,,,,
Lil Baby,Street Gossip,Dreams 2 Reality (feat. NoCap),spotify:track:3xibgHbKeEgSSAXR5z3cwt,,,,,,
Pop Smoke,Shoot For The Stars Aim For The Moon,The Woo (feat. 50 Cent & Roddy Ricch),spotify:track:1H7KnK26kc1YyellpbINEn,,,,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Yessirskiii,spotify:track:59JWp4PjZ9TRM8cmtaDYB1,,,,,,
The Weeknd,Trilogy,Loft Music,spotify:track:7xqANDRz8JFxkwfY65WISy,,,,,,
NLE Choppa,Top Shotta,Walk Em Down (feat. Roddy Ricch),spotify:track:1Z0cZI0UzNbP9L8MzzGxqf,,,,,,
Bryson Tiller,T R A P S O U L,Exchange,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,,,,,,
Big Boogie,Final Nightmare,Mental Healing,spotify:track:22BsxwYuSrmWxPE0odu1Xq,,,,,,
guccihighwaters,not around here,too much,spotify:track:7zza1rpIQg0rv6PROxQ1oh,,,,,,
2KBABY,Pregame Rituals,OLD STREETS (feat. Lil Durk) - Remix,spotify:track:661AFNvyvNhhUPOMv8Y0XV,,,,,,
guccihighwaters,all my fault (feat. Softheart),all my fault (feat. Softheart),spotify:track:6JAvg3dUgFkLK1rQbBuNq4,,,,,,
Young Stoner Life,Slime Language 2,Diamonds Dancing (feat. Travis Scott),spotify:track:7uZqvqXzzYMKrexKxdcGmd,,,,,,
Drake,Views,Still Here,spotify:track:4YJmZfvlheSziXem8HBWrj,,,,,,
Remi Wolf,Photo ID (with Dominic Fike),Photo ID (with Dominic Fike),spotify:track:0RW1UL8w8rjQkaIaljaFc5,,,,,,
J. Cole,The Off-Season,m y . l i f e (with 21 Savage & Morray),spotify:track:1D3z6HTiQsNmZxjl7F7eoG,,,,,,
Paulo Londra,Party (feat. A Boogie Wit da Hoodie),Party (feat. A Boogie Wit da Hoodie),spotify:track:5PDoWY5Av2Ba3rWIdY9Ij0,,,,,,
Lil Uzi Vert,The Perfect LUV Tape,Erase Your Social,spotify:track:4uhvMW7ly7tJil31YYscAN,,,,,,
A Boogie Wit da Hoodie,International Artist,Pull Up (feat. NAV),spotify:track:0WnV4YotgHecDIzfihlcjn,,,,,,
KYLE,Ikuyo (feat. 2 Chainz & Sophia Black),Ikuyo (feat. 2 Chainz & Sophia Black),spotify:track:0w63VXrkcxU6PHgBk3WyxS,,,,,,
Kodak Black,Tunnel Vision,Tunnel Vision,spotify:track:2BoS7pU92MQtynhQ0cZOLT,,,,,,
YG,Red Friday,I'm A Thug Pt. 2,spotify:track:3UYEIe5Tua73ouOCh852Ce,,,,,,
Juice WRLD,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,,,,,,
Machine Gun Kelly,Trap Paris (feat. Quavo & Ty Dolla $ign),Trap Paris (feat. Quavo & Ty Dolla $ign),spotify:track:7DLswAt4vQingBBs40mfwj,,,,,,
Kota the Friend,To Kill A Sunrise,Day Glow,spotify:track:4jKhZWqYYzTw86LngT4Nd3,,,,,,
Bas,Milky Way,Tribe (with J. Cole),spotify:track:0YAQnYt2oB8OdoaeqnHyTI,,,,,,
Lil Tjay,True 2 Myself,F.N,spotify:track:0RLLvYBopDwooCyvnTwgYu,,,,,,
iann dior,I'm Gone,Pretty Girls,spotify:track:3fKdTr6Uv8HTb92Ih3QWxa,,,,,,
Lil Uzi Vert,Sanguine Paradise,Sanguine Paradise,spotify:track:3XiNC94b4Tq1xwv70sQJGN,,,,,,
Lil Baby,My Turn,Heatin Up (feat. Gunna),spotify:track:7KSSdFCBHCfq4KPzz78ghk,,,,,,
The Weeknd,Heartless,Heartless,spotify:track:57vxBYXtHMk6H1aD29V7PU,,,,,,
Kendrick Lamar,DAMN.,LUST.,spotify:track:06FCvd7rrRcF3DdvWH5Isp,,,,,,
Post Malone,Stoney,Big Lie,spotify:track:02opp1cycqiFNDpLd2o1J3,,,,,,
A$AP Rocky,Bad Company (feat. BlocBoy JB),Bad Company (feat. BlocBoy JB),spotify:track:3ZYwSDF9knZI0RVlKR4PHC,,,,,,
Khalid,Skyline,Skyline,spotify:track:1QxIFMs4M8qd5cbJJu80v4,,,,,,
Tory Lanez,The New Toronto 3,Stupid Again,spotify:track:1fPnUpoXCpD2NDI4vPVeLw,,,,,,
XXXTENTACION,SKINS,I don’t let go,spotify:track:4axYWgXASdsCBHuwInAubT,,,,,,
Drake,If You're Reading This It's Too Late,Jungle,spotify:track:7JXZq0JgG2zTrSOAgY8VMC,,,,,,
Rylo Rodriguez,G.I.H.F.,Walk (feat. Lil Baby & 42 Dugg),spotify:track:1qDLTUxg7xyylgtyNleurw,,,,,,
Metro Boomin,NOT ALL HEROES WEAR CAPES,No Complaints (feat. Offset & Drake) (Bonus),spotify:track:304CtPEPYQS6hbM4CubVti,,,,,,
J. Cole,KOD,Motiv8,spotify:track:1AT4xjNarTswd0UZ5FlmKF,,,,,,
UMI,Remember Me,Remember Me,spotify:track:630Ug0XtmhhFvAKo0PNuEI,,,,,,
Kanye West,The College Dropout,Family Business,spotify:track:5DBmXF7QO43Cuy9yqva116,,,,,,
Huncho Jack,"Huncho Jack, Jack Huncho",Huncho Jack,spotify:track:5vuiHi3QYbwcm1OKJOYnrf,,,,,,
The Weeknd,Pray For Me (with Kendrick Lamar),Pray For Me (with Kendrick Lamar),spotify:track:76jsZXItoyx9wcRfu1eKuF,,,,,,
Wifisfuneral,Conn3ct3d,EA,spotify:track:6sFc3Hd3WPy2Hepop2IIjd,,,,,,
Metro Boomin,NOT ALL HEROES WEAR CAPES,Overdue (with Travis Scott),spotify:track:2mYDDUkBcgFNBqkWctyyuc,,,,,,
Wiz Khalifa,O.N.I.F.C.,Remember You (feat. The Weeknd),spotify:track:0g6mKqhGtUIEoLSmV8ozi8,,,,,,
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",xanny,spotify:track:4QIo4oxwzzafcBWkKjDpXY,,,,,,
Lil Uzi Vert,Lil Uzi Vert vs. The World,You Was Right,spotify:track:2ANLarE8yHVsLWW21nj79M,,,,,,
A Boogie Wit da Hoodie,The Bigger Artist,No Comparison,spotify:track:32aQ7oWlgpbEQyeZhvAmzC,,,,,,
Kendrick Lamar,"good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe",spotify:track:5h5tBFnbcVioFXiOixTn6E,,,,,,
Roddy Ricch,Out Tha Mud,Out Tha Mud,spotify:track:7jI9cnrZof9mRNpIsA7QQN,,,,,,
Xavier Weeks,No Go,No Go,spotify:track:3CeCdCNEF9QPPGNoL4G2Lu,,,,,,
Future,Pluto x Baby Pluto,Drankin N Smokin,spotify:track:0k7wmahjkn389wAZdz19Cv,,,,,,
iann dior,nothings ever good enough,cutthroat,spotify:track:6Dww26l37RgujIGsfDmDLp,,,,,,
The Weeknd,Starboy,Six Feet Under,spotify:track:4mU5iXHeLgbR94siF7p1sY,,,,,,
Young Thug,Punk,Bubbly (with Drake & Travis Scott),spotify:track:4KDNRh9Oor80z3XIxdWlui,,,,,,
6LACK,East Atlanta Love Letter,Switch,spotify:track:29ZZAShKhwRUuKULSNtxX6,,,,,,
Polo G,Judas and the Black Messiah: The Inspired Album,Last Man Standing,spotify:track:7AqcPbvxOIIN6NMXlG30Sw,,,,,,
Huncho Jack,"Huncho Jack, Jack Huncho",How U Feel,spotify:track:7CWiWkccuRRdrmaW6AjVEf,,,,,,
Post Malone,beerbongs & bentleys,Candy Paint,spotify:track:32lItqlMi4LBhb4k0BaSaC,,,,,,
Kanye West,Donda,Off The Grid,spotify:track:6LNoArVBBVZzUTUiAX2aKO,,,,,,
iann dior,Prospect (feat. Lil Baby),Prospect (ft. Lil Baby),spotify:track:4Zjdzxx0dsavsr7Ehr8fGE,,,,,,
NLE Choppa,Protect,Protect,spotify:track:75APtunhuVukVbBLFXBnCP,,,,,,
Young Thug,Birds In The Trap Sing McKnight,pick up the phone,spotify:track:20dP2DaMHIAmwWAbp7peSr,,,,,,
French Montana,Suicide Doors (feat. Gunna),Suicide Doors (feat. Gunna),spotify:track:1rmpmDrnCR7fFZSmghtXmY,,,,,,
Young Nudy,SlimeBall 2,EA (feat. 21 Savage),spotify:track:68MTDH8Kk4jBEV1ah0n89s,,,,,,
Metro Boomin,NOT ALL HEROES WEAR CAPES,Don't Come Out The House (with 21 Savage),spotify:track:1m6lqaLvUTxPjOo98fJH8U,,,,,,
Fivio Foreign,Bop It (feat. Polo G),Bop It (feat. Polo G),spotify:track:0ASHuncZLdgqTcoGMIgUxR,,,,,,
The Weeknd,Starboy,Starboy,spotify:track:2IY7eOUDjw2ArKYxKa2jXc,,,,,,
Nicki Minaj,Pink Friday ... Roman Reloaded,Starships,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,,,,,,
Lud Foe,Show U Off (feat. Lil Uzi Vert),Show U Off (feat. Lil Uzi Vert),spotify:track:4Ek8WLusFsNHd3c4tRwBtm,,,,,,
Young Greatness,Moolah,Moolah,spotify:track:746PsZ5jTdqIJ6LgJAHcEZ,,,,,,
Yo Gotti,Down In the DM,Down In the DM,spotify:track:2MqGvys5HMS5loK1p4Augh,,,,,,
NAV,RECKLESS,Glow Up,spotify:track:09L4qpS3qvz725z6K8yW0M,,,,,,
Moneybagg Yo,Fed Baby’s,Pleading The Fifth (feat. Quavo),spotify:track:3LUPftNsM4KOk7kINY8keB,,,,,,
Oliver Tree,Miracle Man,Miracle Man,spotify:track:6VWnV3to6fZdaLQyhhLPRE,,,,,,
Playboi Carti,Die Lit,Long Time - Intro,spotify:track:4IO2X2YoXoUMv0M2rwomLC,,,,,,
Aminé,Good For You,Heebiejeebies - Bonus,spotify:track:32xx0fAv3CIeGmNaWTHvEF,,,,,,
Roddy Ricch,Please Excuse Me for Being Antisocial,High Fashion (feat. Mustard),spotify:track:07KXEDMj78x68D884wgVEm,,,,,,
Rae Sremmurd,Guatemala (feat. Slim Jxmmi),Guatemala (feat. Slim Jxmmi) - From Swaecation,spotify:track:6sTDhYVVXU3HSDuG7mBLRU,,,,,,
Lil Baby,My Turn,Commercial (feat. Lil Uzi Vert),spotify:track:3tDqEKKUs6gf8zMvSuLyLA,,,,,,
